Model,Test Loss,Test Acc,Precision,Recall,F1 Score
LSTM,1.0520957666397095,0.608,0.6033519553072626,0.677115987460815,0.638109305760709
CNN,0.6155078090667725,0.7008,0.6575178997613366,0.8636363636363636,0.7466124661246613
FeedForward,0.6317635557174682,0.6352,0.6112469437652812,0.7836990595611285,0.6868131868131868
