Model,Test Loss,Test Acc,Precision,Recall,F1 Score
LSTM,0.9026890436172486,0.6096,0.6035911602209945,0.6849529780564263,0.6417033773861968
CNN,0.5994369414329529,0.7056,0.7265100671140939,0.6786833855799373,0.7017828200972447
FeedForward,0.6580261080741883,0.624,0.612,0.719435736677116,0.6613832853025937
