Model,Test Loss,Test Acc,Precision,Recall,F1 Score
LSTM,0.9235268712043763,0.6112,0.611764705882353,0.6520376175548589,0.6312594840667678
CNN,0.6014850952148437,0.7104,0.7277227722772277,0.6912225705329154,0.7090032154340836
FeedForward,0.6400499761581421,0.6592,0.6501416430594901,0.719435736677116,0.6830357142857143
